City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cabo San Lucas,MX,81.7,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
4,Jamestown,US,84.51,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
13,Les Cayes,HT,84.94,broken clouds,18.2,-73.75,Villa Orphee
14,Sao Joao Do Paraiso,BR,81.99,few clouds,-15.3136,-42.0144,Avenida Palace Hotel
15,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
19,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
21,Manono,CD,81.52,scattered clouds,-7.3,27.4167,Hotel hewa bora
27,Kavieng,PG,81.99,clear sky,-2.5744,150.7967,Nusa Island Retreat
33,Bluefield,US,88.14,clear sky,37.2698,-81.2223,Economy Inn
47,Alugan,PH,80.49,broken clouds,12.2188,125.4808,JM Lodge
52,Tecoanapa,MX,86.85,overcast clouds,16.5167,-98.75,Hotel Manglares
63,Awjilah,LY,88.77,clear sky,29.1081,21.2869,المنزل
78,Kibala,TD,80.55,few clouds,9.1104,18.3463,Prasant Hotels
84,Ponta Do Sol,PT,82.71,clear sky,32.6667,-17.1,Hotel do Campo
86,Hithadhoo,MV,81.1,overcast clouds,-0.6,73.0833,Scoop Guest House
92,Uchiza,PE,89.38,broken clouds,-8.4592,-76.4633,Hotel San Pedro
96,Mountain Home,US,85.48,clear sky,43.133,-115.6912,Mountain Home Inn
100,Torbay,CA,81.88,broken clouds,47.6666,-52.7314,Gallows Cove
103,Hami,CN,84.81,clear sky,42.8,93.45,Laoyutang Resort
108,Cururupu,BR,87.28,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
109,Atar,MR,86.97,light rain,20.5169,-13.0499,Oumou Elghoura
110,Kananga,CD,81.37,broken clouds,-5.8958,22.4178,Guest House Wood Land
113,La Baneza,ES,89.4,clear sky,42.3003,-5.8977,Señorio De Los Bazan
116,Sinnamary,GF,83.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
128,Marzuq,YE,81.46,clear sky,14.4,46.4667,
136,Victoria,HK,88.18,broken clouds,22.2855,114.1577,Mini Central
144,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
153,Lorengau,PG,81.18,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
154,Puri,IN,81.12,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
158,Cedar City,US,89.4,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
162,Zacualpan,MX,86.43,clear sky,21.25,-105.1667,La Colorada B&B
172,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
176,Hamilton,US,88.32,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
192,Boca Do Acre,BR,88.48,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
203,Trairi,BR,83.57,few clouds,-3.2778,-39.2689,janelas do mar
205,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
208,Winnemucca,US,86.85,clear sky,40.973,-117.7357,Winners Inn Casino
212,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Base Lodging
213,Puerto Del Rosario,ES,80.35,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
220,Nargana,PA,82.8,overcast clouds,9.4428,-78.5906,Dubbir
222,Pedernales,DO,88.56,scattered clouds,18.0384,-71.744,Hotel Costa Marina
237,Dois Corregos,BR,82.78,few clouds,-22.3661,-48.3803,Hotel Pousada Aquino Paraiso
238,Muros,ES,85.15,clear sky,42.7762,-9.0603,Apartment Av. Castelao
249,Negrar,IT,81.28,broken clouds,45.5288,10.938,Hotel Valpolicella International
251,Rio Claro,BR,82.15,few clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
259,Bubaque,GW,80.1,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
260,Havelock,US,89.94,few clouds,34.8791,-76.9013,Sherwood Motel
264,Kavaratti,IN,81.27,overcast clouds,10.5669,72.642,Green leaf
276,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Pirineos
277,Half Moon Bay,US,80.82,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
279,Carballo,ES,80.02,clear sky,43.213,-8.691,Pazo do Souto
285,Caraballeda,VE,83.25,scattered clouds,10.6112,-66.8522,Ole Caribe
292,Sur,OM,88.63,broken clouds,22.5667,59.5289,Sur Plaza Hotel
294,Kapoeta,SS,82.06,broken clouds,4.7717,33.5903,Eastgate Hotel
297,San Policarpo,PH,80.44,broken clouds,12.1791,125.5072,Agapita M. Nicart
305,Lancaster,US,89.19,clear sky,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
318,Korla,CN,88.25,clear sky,41.7597,86.1469,Gulisitan Hotel
320,Panorama,GR,84.13,clear sky,40.5878,23.0315,Panorama Hotel
323,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
326,Nicolas Bravo,MX,83.1,overcast clouds,18.45,-88.9167,
329,Pukhrayan,IN,87.06,broken clouds,26.2333,79.85,Raj Guest House And Restaurant.
338,Buritizeiro,BR,86.07,clear sky,-17.3511,-44.9622,Santos Palace Hotel
341,Korcula,HR,81.09,clear sky,42.9622,17.1369,Marko Polo Hotel by Aminess
344,Keti Bandar,PK,83.08,overcast clouds,24.1447,67.4497,Haji laloo memon house
349,Kattivakkam,IN,82.49,scattered clouds,13.2167,80.3167,Euronova Freezer
359,Nador,MA,82.44,clear sky,35.174,-2.9287,Hôtel La Giralda
361,Roura,GF,87.71,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
362,Pithiviers,FR,80.62,broken clouds,48.1667,2.25,Relais de la Poste
366,Sajanan,TN,85.87,clear sky,37.0573,9.2426,Mine de Dhoihria
368,Capitan Bado,PY,86.63,clear sky,-23.2667,-55.5333,Hotel Suiza
372,Kalmunai,LK,80.71,overcast clouds,7.4167,81.8167,VS Villa
374,Codajas,BR,85.06,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
381,Lompoc,US,82.02,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
394,Ugoofaaru,MV,81.99,overcast clouds,5.6667,73.0,Ungoofaaru Inn
395,Maraa,BR,81.59,overcast clouds,-1.8333,-65.3667,
398,Cockburn Town,TC,82.27,few clouds,21.4612,-71.1419,Osprey Beach Hotel
407,Culaman,PH,80.1,overcast clouds,5.9603,125.6586,Jasmin Ex House
409,Charthawal,IN,84.78,overcast clouds,29.55,77.5833,Golden Tant House
411,Kudahuvadhoo,MV,82.96,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
420,Mao,ES,84.76,clear sky,39.8885,4.2658,ARTIEM Capri
423,Amapa,BR,84.92,broken clouds,1.0,-52.0,
426,Quepos,CR,80.82,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
428,Kutum,SD,87.01,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
431,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
