City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nouadhibou,MR,20.931,-17.0347,70.2,93,29,14.12,light rain
1,Bubaque,GW,11.2833,-15.8333,80.1,79,100,14.58,overcast clouds
2,Hithadhoo,MV,-0.6,73.0833,81.25,74,100,7.27,overcast clouds
3,Le Port,RE,-20.9373,55.2919,69.8,80,32,4.99,scattered clouds
4,Sechura,PE,-5.5569,-80.8222,73.78,63,15,14.56,few clouds
5,Aketi,CD,2.7388,23.7833,72.73,85,100,1.77,overcast clouds
6,Dikson,RU,73.5069,80.5464,49.87,78,57,10.51,broken clouds
7,Busselton,AU,-33.65,115.3333,50.54,66,70,13.53,broken clouds
8,Castro,BR,-24.7911,-50.0119,66.87,60,100,3.8,overcast clouds
9,Albany,US,42.6001,-73.9662,96.44,37,9,1.01,clear sky
10,Vestmanna,FO,62.1564,-7.1664,49.12,76,75,16.11,broken clouds
11,Punta Arenas,CL,-53.15,-70.9167,39.31,56,0,10.36,clear sky
12,Ribeira Grande,PT,38.5167,-28.7,79.2,78,40,12.66,scattered clouds
13,Mahebourg,MU,-20.4081,57.7,70.25,78,40,14.97,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,37.06,70,100,11.5,sleet
15,Port Alfred,ZA,-33.5906,26.891,58.78,66,100,18.9,light rain
16,Maceio,BR,-9.6658,-35.7353,75.99,82,50,12.44,scattered clouds
17,Yar-Sale,RU,66.8333,70.8333,50.32,75,73,15.97,broken clouds
18,Dodge City,US,37.7528,-100.0171,105.6,16,7,17.83,clear sky
19,Evans,US,33.5337,-82.1307,96.51,55,20,4.0,few clouds
20,Coruripe,BR,-10.1256,-36.1756,74.84,84,76,11.77,broken clouds
21,Leningradskiy,RU,69.3833,178.4167,34.7,93,100,8.84,overcast clouds
22,Kadnikov,RU,59.5022,40.338,63.21,83,3,5.23,clear sky
23,Chuy,UY,-33.6971,-53.4616,63.05,92,67,7.54,broken clouds
24,Saskylakh,RU,71.9167,114.0833,50.86,88,73,1.9,broken clouds
25,Rikitea,PF,-23.1203,-134.9692,72.25,67,0,7.52,clear sky
26,Bethanien,NA,-26.502,17.1583,54.32,46,0,9.17,clear sky
27,Kapaa,US,22.0752,-159.319,80.92,71,20,14.97,few clouds
28,Kavieng,PG,-2.5744,150.7967,81.72,76,6,11.03,clear sky
29,Ambon,ID,-3.6954,128.1814,74.23,17,40,8.05,scattered clouds
30,Mataura,NZ,-46.1927,168.8643,31.48,89,100,2.15,overcast clouds
31,Constitucion,CL,-35.3333,-72.4167,57.47,79,100,2.28,light rain
32,Cape Town,ZA,-33.9258,18.4232,56.37,71,20,11.5,few clouds
33,Sabang,ID,5.8933,95.3214,80.8,80,100,9.15,overcast clouds
34,Katobu,ID,-4.9408,122.5276,70.92,86,33,5.3,scattered clouds
35,Jadu,LY,31.953,12.0261,74.03,41,0,10.47,clear sky
36,San Rafael,AR,-34.6177,-68.3301,70.48,15,49,6.15,scattered clouds
37,Butaritari,KI,3.0707,172.7902,81.88,74,22,14.32,few clouds
